loco,DateTime,gps_latitude,gps_longitude,speed
PN8345,10/23/2018 14:00,-20.05599183,148.1507472,17.36418928,5.326764574
PN8345,10/23/2018 14:00,-20.05603583,148.1507268,17.39625767,5.333672475
PN8345,10/23/2018 14:00,-20.05607967,148.1507065,17.36925271,5.316677513
PN8345,10/23/2018 14:00,-20.0561235,148.1506862,17.37431614,5.316677276
PN8345,10/23/2018 14:00,-20.05616733,148.150666,17.34562337,5.309746802
PN8345,10/23/2018 14:00,-20.05621117,148.150646,17.37937957,5.302864435
PN8345,10/23/2018 14:00,-20.05625517,148.150626,17.35406242,5.319903054
PN8345,10/23/2018 14:00,-20.056299,148.150606,17.3506868,5.302863976
PN8345,10/23/2018 14:00,-20.05634267,148.150586,17.33549651,5.285834937
PN8345,10/23/2018 14:00,-20.05638633,148.1505658,17.30511593,5.292738974
PN8345,10/23/2018 14:00,-20.05643017,148.1505458,17.32199403,5.302863284
PN8345,10/23/2018 14:00,-20.05647383,148.1505257,17.29330126,5.292738506
PN8345,10/23/2018 14:00,-20.0565175,148.1505055,17.35912585,5.292738277
PN8345,10/23/2018 14:00,-20.05656117,148.1504855,17.31524279,5.285833785
PN8345,10/23/2018 14:00,-20.056605,148.1504653,17.33043308,5.309744475
PN8345,10/23/2018 14:00,-20.05664867,148.1504452,17.31186717,5.292737573
PN8345,10/23/2018 14:00,-20.05669233,148.1504248,17.34731118,5.299689772
PN8345,10/23/2018 14:00,-20.056736,148.1504045,17.3338087,5.299689535
PN8345,10/23/2018 14:00,-20.05677983,148.1503843,17.34731118,5.309743542
PN8345,10/23/2018 14:00,-20.0568235,148.1503642,17.32874527,5.292736638
PN8345,10/23/2018 14:00,-20.05686733,148.150344,17.34055994,5.309743077
PN8345,10/23/2018 14:00,-20.05691117,148.150324,17.33043308,5.302860761
PN8345,10/23/2018 14:00,-20.056955,148.1503038,17.38275519,5.30974261
PN8345,10/23/2018 14:00,-20.05699883,148.1502838,17.3675649,5.3028603
PN8345,10/23/2018 14:00,-20.05704267,148.1502637,17.32874527,5.309742145
PN8345,10/23/2018 14:00,-20.05708667,148.1502435,17.34055994,5.326758764
PN8345,10/23/2018 14:00,-20.0571305,148.1502233,17.40807234,5.309741675
